"epiunitID","serotype","Longitude","Latitude","Date"
14554,"O",37.59807,37.698272,2007-01-01
12459,"O",32.500737,39.953958,2007-01-01
36700,"O",34.426262,36.959121,2007-01-02
9832,"O",31.592019,37.91399,2007-01-02
35090,"O",29.322945,36.711272,2007-01-02
25835,"O",37.886814,40.919106,2007-01-02
45492,"A",36.163352,40.394941,2007-01-02
20350,"A",26.839268,41.566837,2007-01-04
52029,"O",26.875363,38.170876,2007-01-04
46450,"O",38.193982,38.561741,2007-01-04
41748,"O",40.590722,40.947598,2007-01-04
31683,"O",31.369192,37.023173,2007-01-04
31450,"O",32.816196,40.831112,2007-01-05
39753,"O",33.443256,37.677857,2007-01-05
35215,"O",37.893164,38.004506,2007-01-05
47672,"O",37.777923,40.820939,2007-01-05
1733,"O",40.590722,40.947598,2007-01-05
35336,"O",33.865535,38.284408,2007-01-05
43307,"O",33.865535,38.284408,2007-01-05
50892,"O",38.730749,40.872741,2007-01-06
10600,"A",33.859158,41.311514,2007-01-06
18679,"A",33.859158,41.311514,2007-01-06
11898,"O",36.847968,37.663446,2007-01-06
45275,"O",30.226163,37.628217,2007-01-07
2978,"O",39.207466,38.664705,2007-01-07
9910,"O",38.444403,38.318497,2007-01-07
37099,"O",37.301497,37.457507,2007-01-07
24480,"O",28.51253,39.975895,2007-01-08
3494,"A",33.772048,40.520493,2007-01-08
20810,"O",30.250537,38.139634,2007-01-08
31286,"O",30.250537,38.139634,2007-01-08
12268,"O",31.09706,38.295912,2007-01-08
33546,"O",35.464857,38.135423,2007-01-08
2089,"O",32.994676,37.881286,2007-01-08
12253,"O",38.193982,38.561741,2007-01-08
3171,"O",34.720632,38.619201,2007-01-08
41579,"O",34.811513,38.165102,2007-01-08
19775,"O",33.09593,39.509419,2007-01-08
5958,"A",30.226163,37.628217,2007-01-09
20758,"O",39.564691,38.45017,2007-01-09
43512,"O",27.113012,38.156167,2007-01-09
3110,"O",38.193982,38.561741,2007-01-09
20452,"O",33.865535,38.284408,2007-01-09
13455,"O",33.506068,40.50778,2007-01-10
16448,"A",33.772048,40.520493,2007-01-10
43402,"A",33.772048,40.520493,2007-01-10
44643,"O",38.193982,38.561741,2007-01-10
38467,"O",40.590722,40.947598,2007-01-10
24157,"O",36.432514,37.286541,2007-01-10
39962,"O",33.006077,41.635977,2007-01-11
29921,"O",32.500737,39.953958,2007-01-11
47351,"O",32.500737,39.953958,2007-01-11
13812,"A",29.395087,38.950282,2007-01-12
31540,"O",30.226163,37.628217,2007-01-13
12718,"O",40.590722,40.947598,2007-01-13
29440,"O",40.590722,40.947598,2007-01-13
49191,"O",42.358263,37.295959,2007-01-13
7900,"O",32.565315,38.018344,2007-01-14
25299,"O",36.410449,37.601448,2007-01-14
28062,"O",39.951222,40.741711,2007-01-14
20456,"O",32.994676,37.881286,2007-01-15
10333,"O",40.590722,40.947598,2007-01-15
17853,"O",32.500737,39.953958,2007-01-15
49041,"O",36.432514,37.286541,2007-01-15
132,"O",41.876795,40.303873,2007-01-16
44463,"O",30.601775,37.802071,2007-01-16
30904,"A",33.285543,41.194805,2007-01-16
27396,"O",33.865535,38.284408,2007-01-16
22032,"O",35.17898,36.912762,2007-01-17
25027,"O",42.209339,40.037681,2007-01-17
2023,"O",29.322945,36.711272,2007-01-17
37376,"O",40.590722,40.947598,2007-01-17
375,"O",29.888323,36.736003,2007-01-17
5811,"O",26.628831,38.305129,2007-01-18
15093,"A",33.285543,41.194805,2007-01-18
20052,"O",29.322945,36.711272,2007-01-18
13240,"O",36.969573,39.689382,2007-01-18
14440,"O",36.348905,37.055517,2007-01-18
22137,"O",37.275748,36.984877,2007-01-19
48324,"O",27.113012,38.156167,2007-01-19
29551,"O",35.897315,40.608305,2007-01-19
20975,"O",30.177734,37.052451,2007-01-19
4814,"O",30.226163,37.628217,2007-01-20
37001,"O",34.819058,37.059738,2007-01-20
3694,"O",27.486768,38.422561,2007-01-20
29413,"O",31.480696,38.34847,2007-01-20
26982,"O",35.897315,40.608305,2007-01-20
42695,"O",33.455038,40.158544,2007-01-20
29486,"O",33.17993,37.13511,2007-01-20
47616,"A",31.09706,38.295912,2007-01-21
34648,"O",29.322945,36.711272,2007-01-21
28944,"O",35.421965,36.97022,2007-01-22
32762,"A",33.859158,41.311514,2007-01-22
4139,"O",35.908011,38.836125,2007-01-22
14741,"O",33.887236,37.895593,2007-01-22
25129,"O",32.565315,38.018344,2007-01-22
37916,"O",40.590722,40.947598,2007-01-22
33560,"O",32.201953,36.587554,2007-01-22
25238,"O",29.888323,36.736003,2007-01-22
17526,"O",38.491183,37.565705,2007-01-23
40866,"O",26.628831,38.305129,2007-01-23
13128,"O",34.15179,39.142769,2007-01-23
13568,"O",32.766861,37.482305,2007-01-23
20977,"O",31.592019,37.91399,2007-01-23
44588,"A",28.51253,39.975895,2007-01-24
46263,"O",29.13234,37.793724,2007-01-24
1141,"O",30.601775,37.802071,2007-01-24
44945,"O",35.768197,37.011887,2007-01-25
22232,"O",29.52277,40.034987,2007-01-25
29862,"O",29.778093,38.222275,2007-01-25
30163,"O",27.261047,38.485143,2007-01-25
18155,"O",35.679775,38.341557,2007-01-25
33795,"O",35.492419,39.075159,2007-01-25
29323,"O",32.257299,37.698999,2007-01-25
12435,"O",37.365845,38.290124,2007-01-25
31658,"O",42.199757,39.071723,2007-01-25
3751,"O",32.663697,40.443664,2007-01-25
34964,"O",36.510931,37.140324,2007-01-25
49042,"O",36.510931,37.140324,2007-01-25
27140,"O",36.010352,37.428703,2007-01-25
27140,"O",36.010352,37.428703,2007-01-25
8218,"O",36.010352,37.428703,2007-01-25
8218,"O",36.010352,37.428703,2007-01-25
37354,"O",34.504049,41.135078,2007-01-26
48389,"O",41.295639,40.016936,2007-01-27
6294,"A",31.09706,38.295912,2007-01-27
8626,"O",34.751165,38.432442,2007-01-27
51007,"O",29.070189,40.081832,2007-01-28
10717,"A",37.538208,38.572868,2007-01-28
21704,"O",37.065995,39.456974,2007-01-28
23987,"O",38.261284,37.708417,2007-01-29
13354,"O",30.058179,39.414319,2007-01-29
23776,"O",36.120984,37.35515,2007-01-29
10915,"A",30.226163,37.628217,2007-01-30
30347,"O",27.260325,38.347076,2007-01-30
15844,"A",34.440398,41.649652,2007-01-30
4502,"O",36.348905,37.055517,2007-01-30
17596,"O",33.772048,40.520493,2007-02-01
16530,"O",34.15179,39.142769,2007-02-01
3447,"O",32.994676,37.881286,2007-02-01
904,"O",41.542486,38.848864,2007-02-01
6007,"O",32.812822,39.642621,2007-02-02
38483,"O",28.034081,37.610605,2007-02-02
18502,"A",31.09706,38.295912,2007-02-03
28056,"O",36.495208,38.883603,2007-02-03
30774,"O",27.036624,38.809846,2007-02-04
33480,"O",34.15179,39.142769,2007-02-04
31193,"O",28.034081,37.610605,2007-02-04
34262,"O",28.034081,37.610605,2007-02-04
3851,"O",40.78369,38.26052,2007-02-05
48226,"O",37.537865,36.832165,2007-02-05
15380,"O",29.278654,41.081529,2007-02-05
28848,"A",28.034081,37.610605,2007-02-05
41392,"O",33.816247,36.58237,2007-02-06
13072,"O",36.432514,37.286541,2007-02-06
29337,"O",28.034081,37.610605,2007-02-07
45911,"O",27.948734,37.860759,2007-02-07
7165,"O",33.783678,39.274081,2007-02-08
1979,"O",32.766861,37.482305,2007-02-08
23223,"O",39.195611,41.014113,2007-02-08
9893,"O",39.630257,39.151414,2007-02-08
25665,"O",34.875468,40.489752,2007-02-09
23555,"O",42.145239,40.849712,2007-02-09
8898,"O",41.964174,37.346454,2007-02-09
22831,"O",42.695508,41.064583,2007-02-09
31594,"O",32.541515,41.116445,2007-02-09
35064,"O",27.384176,37.647109,2007-02-09
16040,"O",29.949283,38.580242,2007-02-10
11362,"O",34.778457,39.283024,2007-02-10
24699,"O",33.455038,40.158544,2007-02-10
11016,"O",40.425321,38.395943,2007-02-11
8598,"O",41.295639,40.016936,2007-02-11
12029,"O",42.695508,41.064583,2007-02-11
38314,"O",40.219332,38.011024,2007-02-12
44640,"O",34.426262,36.959121,2007-02-12
6383,"O",36.619791,38.094814,2007-02-12
33046,"O",34.646495,37.561772,2007-02-12
39068,"O",30.52582,40.899201,2007-02-12
6139,"O",33.17993,37.13511,2007-02-12
